time,pred,entry,exit,result,pnl,cum_pnl
2025-07-15 14:00:00,SELL,3343.38,3344.38,SL,-1.0,-724.5
2025-07-15 14:05:00,SELL,3346.568,3347.568,SL,-1.0,-725.5
2025-07-15 14:10:00,SELL,3347.079,3346.579,TP,0.5,-725.0
2025-07-15 14:15:00,SELL,3344.513,3345.513,SL,-1.0,-726.0
2025-07-15 14:20:00,SELL,3346.435,3347.435,SL,-1.0,-727.0
2025-07-15 14:25:00,BUY,3346.922,3347.422,TP,0.5,-726.5
2025-07-15 14:30:00,BUY,3350.99,3349.99,SL,-1.0,-727.5
2025-07-15 14:35:00,BUY,3350.038,3349.038,SL,-1.0,-728.5
2025-07-15 14:40:00,BUY,3349.974,3348.974,SL,-1.0,-729.5
2025-07-15 14:45:00,BUY,3347.571,3346.571,SL,-1.0,-730.5
2025-07-15 14:50:00,BUY,3346.726,3347.226,TP,0.5,-730.0
2025-07-15 14:55:00,BUY,3347.989,3346.989,SL,-1.0,-731.0
2025-07-15 15:00:00,BUY,3347.432,3346.432,SL,-1.0,-732.0
2025-07-15 15:05:00,SELL,3346.72,3346.22,TP,0.5,-731.5
2025-07-15 15:10:00,SELL,3345.543,3345.043,TP,0.5,-731.0
2025-07-15 15:15:00,SELL,3342.627,3342.127,TP,0.5,-730.5
2025-07-15 15:20:00,SELL,3340.409,3339.909,TP,0.5,-730.0
2025-07-15 15:25:00,SELL,3334.23,3333.73,TP,0.5,-729.5
2025-07-15 15:30:00,SELL,3326.231,3327.231,SL,-1.0,-730.5
2025-07-15 15:35:00,SELL,3329.818,3330.818,SL,-1.0,-731.5
2025-07-15 15:40:00,SELL,3331.356,3330.856,TP,0.5,-731.0
2025-07-15 15:45:00,SELL,3329.829,3329.329,TP,0.5,-730.5
2025-07-15 15:50:00,SELL,3328.294,3329.294,SL,-1.0,-731.5
2025-07-15 15:55:00,SELL,3328.996,3328.496,TP,0.5,-731.0
2025-07-15 16:00:00,SELL,3326.857,3326.357,TP,0.5,-730.5
2025-07-15 16:05:00,SELL,3326.129,3325.629,TP,0.5,-730.0
2025-07-15 16:10:00,SELL,3322.651,3322.151,TP,0.5,-729.5
2025-07-15 16:15:00,SELL,3322.615,3323.615,SL,-1.0,-730.5
2025-07-15 16:20:00,SELL,3323.754,3324.754,SL,-1.0,-731.5
2025-07-15 16:25:00,SELL,3325.709,3326.709,SL,-1.0,-732.5
2025-07-15 16:30:00,SELL,3325.054,3324.554,TP,0.5,-732.0
2025-07-15 16:35:00,SELL,3325.545,3326.545,SL,-1.0,-733.0
2025-07-15 16:40:00,SELL,3326.165,3327.165,SL,-1.0,-734.0
2025-07-15 16:45:00,SELL,3328.318,3327.818,TP,0.5,-733.5
2025-07-15 16:50:00,SELL,3328.975,3329.975,SL,-1.0,-734.5
2025-07-15 16:55:00,SELL,3329.274,3328.774,TP,0.5,-734.0
2025-07-15 17:00:00,SELL,3328.379,3329.379,SL,-1.0,-735.0
2025-07-15 17:05:00,SELL,3329.717,3330.717,SL,-1.0,-736.0
2025-07-15 17:10:00,BUY,3331.069,3330.069,SL,-1.0,-737.0
2025-07-15 17:15:00,BUY,3331.155,3330.155,SL,-1.0,-738.0
2025-07-15 17:20:00,BUY,3330.346,3329.346,SL,-1.0,-739.0
2025-07-15 17:25:00,BUY,3329.216,3328.216,SL,-1.0,-740.0
2025-07-15 17:30:00,BUY,3328.122,3328.622,TP,0.5,-739.5
2025-07-15 17:35:00,BUY,3327.872,3328.372,TP,0.5,-739.0
2025-07-15 17:40:00,BUY,3328.165,3327.165,SL,-1.0,-740.0
2025-07-15 17:45:00,BUY,3327.48,3326.48,SL,-1.0,-741.0
2025-07-15 17:50:00,BUY,3327.812,3328.312,TP,0.5,-740.5
2025-07-15 17:55:00,SELL,3328.179,3329.179,SL,-1.0,-741.5
2025-07-15 18:00:00,SELL,3329.383,3328.883,TP,0.5,-741.0
2025-07-15 18:05:00,SELL,3329.316,3328.816,TP,0.5,-740.5
2025-07-15 18:10:00,SELL,3328.739,3328.239,TP,0.5,-740.0
2025-07-15 18:15:00,SELL,3326.939,3326.439,TP,0.5,-739.5
2025-07-15 18:20:00,SELL,3325.914,3326.914,SL,-1.0,-740.5
2025-07-15 18:25:00,SELL,3326.383,3327.383,SL,-1.0,-741.5
2025-07-15 18:30:00,SELL,3327.897,3328.897,SL,-1.0,-742.5
2025-07-15 18:35:00,SELL,3329.1,3330.1,SL,-1.0,-743.5
2025-07-15 18:40:00,BUY,3329.985,3330.485,TP,0.5,-743.0
2025-07-15 18:45:00,BUY,3330.503,3331.003,TP,0.5,-742.5
2025-07-15 18:50:00,BUY,3329.798,3328.798,SL,-1.0,-743.5
2025-07-15 18:55:00,BUY,3328.877,3329.377,TP,0.5,-743.0
2025-07-15 19:00:00,BUY,3329.235,3328.235,SL,-1.0,-744.0
2025-07-15 19:05:00,SELL,3328.077,3327.577,TP,0.5,-743.5
2025-07-15 19:10:00,SELL,3327.387,3326.887,TP,0.5,-743.0
2025-07-15 19:15:00,SELL,3328.103,3327.603,TP,0.5,-742.5
2025-07-15 19:20:00,SELL,3327.528,3327.028,TP,0.5,-742.0
2025-07-15 19:25:00,SELL,3326.879,3327.879,SL,-1.0,-743.0
2025-07-15 19:30:00,BUY,3327.439,3327.939,TP,0.5,-742.5
2025-07-15 19:35:00,BUY,3328.039,3328.539,TP,0.5,-742.0
2025-07-15 19:40:00,BUY,3329.494,3329.994,TP,0.5,-741.5
2025-07-15 19:45:00,BUY,3329.001,3329.501,TP,0.5,-741.0
2025-07-15 19:50:00,BUY,3330.366,3330.866,TP,0.5,-740.5
2025-07-15 19:55:00,SELL,3330.455,3329.955,TP,0.5,-740.0
2025-07-15 20:00:00,SELL,3330.188,3329.688,TP,0.5,-739.5
